,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年前4月1日入社・合計(入社者定着状況),うち直近4月1日在籍者・合計(入社者定着状況)
0,1332.0,4.0,5.0,5.0,295405.0,16.7,69.4,1.0,16.9,48.0,41.0
1,1333.0,4.0,5.0,4.0,258921.0,16.3,41.6,1.0,15.7,58.0,54.0
5,1662.0,4.0,5.0,4.0,352741.0,18.7,73.3,1.0,16.6,2.0,2.0
6,1605.0,4.0,5.0,5.0,370443.0,21.3,65.0,3.0,14.1,56.0,53.0
7,1852.0,3.0,4.0,4.0,291013.0,26.3,45.9,1.0,21.5,65.0,13.0
8,1869.0,3.0,3.0,3.0,276072.0,34.1,61.8,3.0,17.1,45.0,40.0
10,1899.0,3.0,3.0,3.0,354409.0,35.8,60.3,1.0,17.5,35.0,28.0
11,1848.0,2.0,2.0,2.0,343834.0,15.0,45.5,1.0,15.5,14.0,12.0
12,1813.0,3.0,4.0,3.0,278950.0,27.2,55.2,1.0,19.8,39.0,32.0
13,1718.0,3.0,3.0,3.0,214500.0,8.6,60.3,1.0,11.8,11.0,4.0
14,1805.0,3.0,3.0,3.0,316000.0,28.9,56.9,1.0,19.4,57.0,49.0
18,1963.0,4.0,4.0,4.0,339423.0,18.8,60.2,1.0,17.8,97.0,78.0
19,1890.0,4.0,3.0,3.0,310100.0,33.8,44.8,1.0,18.0,58.0,49.0
20,1835.0,4.0,4.0,3.0,292818.0,29.8,73.1,2.0,13.6,78.0,63.0
21,1720.0,5.0,5.0,4.0,411290.0,27.0,57.6,1.0,20.0,98.0,85.0
24,1808.0,4.0,4.0,4.0,322500.0,32.0,64.9,1.0,17.0,103.0,89.0
25,1975.0,3.0,3.0,3.0,298872.0,42.6,51.3,2.0,20.1,39.0,30.0
26,1941.0,3.0,3.0,3.0,271319.0,31.4,61.8,2.0,18.2,133.0,106.0
28,1925.0,5.0,4.0,5.0,268850.0,24.2,59.6,1.0,14.4,935.0,742.0
29,1802.0,5.0,5.0,5.0,364500.0,39.0,56.0,3.0,17.1,280.0,266.0
30,1822.0,3.0,3.0,3.0,416426.0,50.0,42.8,1.0,19.3,43.0,31.0
31,1878.0,5.0,5.0,4.0,257463.0,14.6,76.9,1.0,10.5,383.0,248.0
32,1801.0,5.0,5.0,5.0,387765.0,41.6,46.5,1.0,18.2,251.0,230.0
34,1979.0,5.0,4.0,4.0,290823.0,32.8,57.2,1.0,17.4,54.0,47.0
37,1928.0,5.0,5.0,5.0,272923.0,24.4,45.9,1.0,16.5,487.0,436.0
38,1820.0,5.0,5.0,4.0,313500.0,34.6,48.3,1.0,18.0,100.0,87.0
39,1803.0,5.0,5.0,5.0,383200.0,32.1,52.0,1.0,16.5,286.0,275.0
40,1952.0,4.0,4.0,3.0,266333.0,30.4,52.0,1.0,16.6,45.0,36.0
41,1810.0,3.0,3.0,3.0,274482.0,21.8,42.1,2.0,18.6,40.0,30.0
43,1949.0,3.0,3.0,3.0,303300.0,33.8,55.9,3.0,17.4,51.0,46.0
44,1812.0,5.0,5.0,5.0,369000.0,42.0,44.4,2.0,18.3,241.0,233.0
45,1961.0,5.0,5.0,5.0,275602.0,29.9,54.5,1.0,18.6,80.0,70.0
46,1821.0,5.0,4.0,4.0,378500.0,39.6,48.3,1.0,21.0,109.0,99.0
49,1969.0,5.0,5.0,4.0,329000.0,44.9,59.1,1.0,16.1,88.0,77.0
50,1948.0,3.0,3.0,2.0,256912.0,24.8,55.9,1.0,18.7,18.0,15.0
52,1893.0,4.0,4.0,4.0,317879.0,23.9,48.4,1.0,17.5,190.0,158.0
53,1860.0,5.0,5.0,5.0,377050.0,21.9,60.5,2.0,19.1,153.0,142.0
54,1861.0,5.0,4.0,5.0,361633.0,24.4,44.7,1.0,19.5,132.0,119.0
55,1959.0,3.0,3.0,3.0,265035.0,28.0,59.8,1.0,16.4,412.0,310.0
58,1833.0,4.0,4.0,4.0,397542.0,27.7,48.9,1.0,16.6,73.0,63.0
63,1417.0,4.0,5.0,4.0,262919.0,24.5,62.1,1.0,15.0,59.0,50.0
67,1871.0,3.0,4.0,4.0,288600.0,26.6,51.4,2.0,18.8,51.0,42.0
68,1827.0,3.0,3.0,3.0,369975.0,32.2,56.7,1.0,17.5,29.0,24.0
70,1946.0,3.0,3.0,3.0,264000.0,29.2,63.6,1.0,19.4,206.0,176.0
72,1965.0,3.0,4.0,3.0,284015.0,40.4,46.3,1.0,14.8,33.0,25.0
74,1980.0,4.0,5.0,5.0,302292.0,22.1,46.2,1.0,17.9,81.0,75.0
75,1712.0,3.0,2.0,2.0,410888.0,25.1,55.4,1.0,8.7,5.0,4.0
77,1721.0,4.0,5.0,5.0,271163.0,23.1,50.9,1.0,16.0,46.0,39.0
83,1951.0,4.0,4.0,5.0,282881.0,31.0,64.0,1.0,17.3,95.0,86.0
87,4526.0,4.0,4.0,4.0,297671.0,13.0,69.9,1.0,16.0,25.0,20.0
88,2269.0,5.0,5.0,5.0,301592.0,9.1,66.8,1.0,17.0,218.0,190.0
90,2573.0,3.0,3.0,4.0,231585.0,8.5,52.2,1.0,18.9,11.0,11.0
91,2607.0,5.0,5.0,4.0,292100.0,18.6,68.6,1.0,18.5,33.0,29.0
93,2282.0,4.0,5.0,4.0,334775.0,24.1,54.1,1.0,18.0,61.0,59.0
94,2002.0,5.0,4.0,4.0,324567.0,19.0,67.5,1.0,17.0,43.0,38.0
95,2897.0,5.0,5.0,5.0,279439.0,20.0,70.7,1.0,12.5,56.0,49.0
96,2602.0,5.0,5.0,5.0,288563.0,18.5,70.7,1.0,18.6,40.0,34.0
97,2117.0,3.0,3.0,2.0,287000.0,20.1,43.3,1.0,19.4,9.0,7.0
98,2875.0,4.0,4.0,4.0,275236.0,21.1,62.8,2.0,15.3,86.0,72.0
99,2204.0,3.0,3.0,3.0,262156.0,16.0,59.7,1.0,18.3,28.0,9.0
100,2293.0,3.0,3.0,3.0,248715.0,13.4,53.3,3.0,12.4,25.0,17.0
101,2270.0,4.0,5.0,4.0,276312.0,17.5,73.8,1.0,14.3,107.0,97.0
102,2264.0,5.0,5.0,5.0,391057.0,11.5,70.2,1.0,15.7,145.0,134.0
103,2201.0,4.0,4.0,4.0,247007.0,13.3,62.6,1.0,18.4,41.0,33.0
104,2004.0,4.0,4.0,4.0,292634.0,7.8,58.8,1.0,15.8,45.0,37.0
105,2206.0,4.0,5.0,4.0,387310.0,23.7,68.1,1.0,17.7,27.0,24.0
106,2220.0,3.0,3.0,3.0,301000.0,7.9,65.5,1.0,20.2,48.0,45.0
110,2209.0,3.0,3.0,3.0,258492.0,17.0,56.3,2.0,13.5,44.0,40.0
111,2593.0,4.0,4.0,5.0,330000.0,28.6,53.9,1.0,16.0,246.0,186.0
113,2805.0,4.0,4.0,4.0,317500.0,12.0,72.0,1.0,13.9,41.0,35.0
117,2931.0,3.0,3.0,3.0,404726.0,25.0,61.2,1.0,4.3,4.0,4.0
118,2267.0,5.0,4.0,5.0,297974.0,8.1,71.7,1.0,18.4,93.0,86.0
119,2217.0,3.0,3.0,3.0,268660.0,6.6,64.8,1.0,14.4,16.0,13.0
120,4404.0,3.0,3.0,3.0,281967.0,10.7,60.1,1.0,18.0,23.0,19.0
123,2060.0,3.0,3.0,3.0,286467.0,6.9,54.3,1.0,15.3,15.0,14.0
124,2810.0,4.0,4.0,5.0,325162.0,17.5,61.4,1.0,20.3,70.0,61.0
125,2001.0,4.0,4.0,4.0,312039.0,15.4,63.0,1.0,16.3,50.0,41.0
126,2871.0,4.0,4.0,4.0,236840.0,17.3,59.7,1.0,16.8,89.0,76.0
131,2501.0,5.0,5.0,5.0,326600.0,14.5,60.0,1.0,16.5,78.0,75.0
132,2579.0,4.0,5.0,5.0,326594.0,15.4,49.2,1.0,17.0,260.0,193.0
133,2503.0,5.0,5.0,5.0,318793.0,20.1,67.1,1.0,17.5,93.0,88.0
134,2809.0,5.0,5.0,5.0,318344.0,15.9,61.7,1.0,15.3,49.0,44.0
135,2801.0,5.0,4.0,4.0,360016.0,12.4,74.3,1.0,13.4,32.0,31.0
137,2216.0,4.0,4.0,4.0,337502.0,12.5,63.3,1.0,13.7,24.0,19.0
138,2229.0,4.0,4.0,5.0,338686.0,13.8,67.8,1.0,14.9,42.0,35.0
139,2811.0,5.0,4.0,4.0,308300.0,14.2,83.0,1.0,16.8,52.0,51.0
141,2533.0,3.0,3.0,3.0,245555.0,6.0,79.1,1.0,17.3,9.0,7.0
144,2815.0,3.0,4.0,3.0,350000.0,7.0,29.9,2.0,14.3,21.0,14.0
145,2502.0,5.0,5.0,5.0,305757.0,18.3,60.6,1.0,14.0,167.0,157.0
146,2613.0,4.0,5.0,4.0,285000.0,16.9,63.7,1.0,16.8,20.0,19.0
147,2914.0,5.0,5.0,5.0,307360.0,17.8,84.0,1.0,18.1,163.0,150.0
152,3512.0,3.0,3.0,3.0,308900.0,1.1,51.8,2.0,23.0,10.0,9.0
153,3101.0,4.0,5.0,4.0,305644.0,9.4,64.0,1.0,17.0,101.0,87.0
154,8040.0,3.0,3.0,3.0,254487.0,4.4,78.1,1.0,15.5,7.0,4.0
155,3402.0,5.0,5.0,5.0,310533.0,9.1,80.2,1.0,15.9,266.0,244.0
156,3401.0,5.0,5.0,5.0,393576.0,13.5,70.4,1.0,18.6,80.0,76.0
158,3580.0,4.0,3.0,3.0,287472.0,3.5,51.3,1.0,16.6,43.0,35.0
159,8011.0,3.0,3.0,3.0,279300.0,9.7,60.0,1.0,13.9,34.0,26.0
160,3591.0,3.0,4.0,4.0,284019.0,3.2,77.4,1.0,15.0,38.0,33.0
162,3103.0,3.0,3.0,3.0,272946.0,8.5,52.6,2.0,18.1,86.0,68.0
166,8114.0,3.0,4.0,4.0,287306.0,11.8,68.1,1.0,15.9,21.0,20.0
167,3551.0,3.0,3.0,3.0,265588.0,12.7,51.7,2.0,17.6,19.0,17.0
170,8111.0,4.0,4.0,4.0,313944.0,18.6,47.8,1.0,17.3,31.0,26.0
171,3002.0,4.0,4.0,5.0,312606.0,5.7,66.8,1.0,20.2,42.0,34.0
175,3865.0,4.0,3.0,3.0,251033.0,13.8,57.1,1.0,19.7,52.0,37.0
176,3863.0,4.0,5.0,5.0,337500.0,14.5,67.9,1.0,21.1,85.0,75.0
180,3880.0,5.0,5.0,4.0,264226.0,20.8,65.7,1.0,17.7,74.0,63.0
182,3861.0,5.0,5.0,5.0,276610.0,12.6,81.0,1.0,16.6,12.0,10.0
183,3941.0,5.0,5.0,5.0,316600.0,18.0,63.9,1.0,15.3,123.0,102.0
184,3946.0,4.0,4.0,3.0,249650.0,8.4,44.5,1.0,14.0,51.0,36.0
186,5208.0,3.0,3.0,3.0,339431.0,14.0,51.6,1.0,20.0,10.0,10.0
188,4112.0,5.0,5.0,4.0,274270.0,10.0,64.5,1.0,17.1,13.0,10.0
190,4368.0,3.0,3.0,3.0,255063.0,13.6,63.7,1.0,12.9,12.0,10.0
191,4901.0,5.0,5.0,5.0,361000.0,12.2,60.2,1.0,19.2,190.0,178.0
192,4403.0,5.0,4.0,4.0,315100.0,13.0,69.3,1.0,18.9,47.0,44.0
194,4619.0,4.0,3.0,3.0,274526.0,10.5,54.6,1.0,17.1,26.0,19.0
195,4041.0,4.0,4.0,4.0,303252.0,7.5,72.8,1.0,20.0,45.0,43.0
197,4114.0,4.0,4.0,4.0,355000.0,15.3,67.2,1.0,16.4,102.0,92.0
199,4091.0,4.0,4.0,4.0,301600.0,17.6,60.3,1.0,16.4,70.0,65.0
200,4272.0,4.0,4.0,5.0,342346.0,11.3,65.8,1.0,14.6,56.0,52.0
202,4612.0,4.0,5.0,5.0,391050.0,15.8,54.1,1.0,13.4,28.0,25.0
205,4205.0,4.0,5.0,4.0,353500.0,16.2,55.4,1.0,15.8,39.0,29.0
208,4021.0,4.0,5.0,4.0,335700.0,17.7,71.0,1.0,15.7,78.0,71.0
210,4620.0,4.0,3.0,3.0,236933.0,13.8,68.0,1.0,16.2,15.0,15.0
211,7917.0,3.0,3.0,3.0,248705.0,26.2,49.0,1.0,16.3,17.0,13.0
212,4045.0,4.0,4.0,4.0,345500.0,7.9,89.4,1.0,20.9,59.0,56.0
214,4634.0,4.0,5.0,4.0,333353.0,6.2,59.4,1.0,20.7,51.0,47.0
216,4093.0,3.0,3.0,3.0,260300.0,9.0,51.3,3.0,16.1,5.0,4.0
217,4186.0,4.0,5.0,4.0,299165.0,17.0,72.0,1.0,19.9,30.0,26.0
218,7971.0,3.0,3.0,3.0,338310.0,17.4,57.1,1.0,16.5,32.0,23.0
219,4042.0,4.0,4.0,5.0,354467.0,16.2,79.2,1.0,14.4,215.0,209.0
225,4461.0,4.0,4.0,4.0,314952.0,12.3,66.1,1.0,15.0,21.0,21.0
226,4116.0,4.0,3.0,3.0,317167.0,3.6,60.5,1.0,18.0,54.0,52.0
227,4221.0,4.0,4.0,3.0,292332.0,3.2,52.8,1.0,16.1,50.0,43.0
231,4204.0,5.0,5.0,5.0,293612.0,11.2,58.2,1.0,15.2,149.0,132.0
232,4028.0,3.0,3.0,3.0,271500.0,5.0,73.6,1.0,19.5,20.0,20.0
234,4063.0,5.0,5.0,5.0,308125.0,13.6,62.4,1.0,20.2,125.0,117.0
236,4004.0,5.0,5.0,5.0,336644.0,15.7,71.6,1.0,16.3,132.0,125.0
237,4967.0,4.0,4.0,4.0,305208.0,12.6,60.1,1.0,12.6,65.0,59.0
238,4008.0,3.0,4.0,4.0,294413.0,15.5,76.1,1.0,15.4,58.0,48.0
239,4005.0,5.0,5.0,5.0,326400.0,20.7,72.2,1.0,15.5,145.0,140.0
240,4203.0,5.0,4.0,4.0,283679.0,9.0,56.9,3.0,22.0,33.0,29.0
241,4911.0,5.0,5.0,5.0,319737.0,13.3,70.4,1.0,11.1,134.0,124.0
242,4471.0,5.0,4.0,4.0,311500.0,4.4,58.5,3.0,16.0,52.0,47.0
243,4188.0,5.0,5.0,5.0,290500.0,21.5,73.5,1.0,18.7,172.0,165.0
244,4182.0,4.0,4.0,5.0,349470.0,12.6,85.4,1.0,17.7,55.0,52.0
246,4183.0,4.0,5.0,5.0,320000.0,20.2,69.7,1.0,19.2,265.0,250.0
247,4078.0,3.0,4.0,4.0,263865.0,9.7,66.7,1.0,15.2,15.0,15.0
249,4968.0,4.0,3.0,3.0,294082.0,15.6,68.3,2.0,17.1,22.0,21.0
254,4452.0,5.0,5.0,5.0,300706.0,14.4,69.6,1.0,17.4,302.0,288.0
256,3407.0,5.0,5.0,5.0,337356.0,19.3,75.5,1.0,14.8,335.0,299.0
260,4912.0,5.0,4.0,5.0,294920.0,9.3,67.6,1.0,17.8,96.0,92.0
263,4957.0,3.0,2.0,2.0,302450.0,6.1,72.1,1.0,22.0,3.0,3.0
267,4917.0,4.0,4.0,4.0,308679.0,8.6,63.9,1.0,16.5,21.0,19.0
269,4927.0,4.0,5.0,4.0,353000.0,11.9,55.2,1.0,5.0,1.0,1.0
270,4921.0,5.0,5.0,5.0,262848.0,3.4,53.1,1.0,12.2,41.0,37.0
271,7995.0,4.0,4.0,4.0,359434.0,14.4,46.3,1.0,18.0,2.0,2.0
272,4410.0,4.0,3.0,3.0,333416.0,11.7,66.0,1.0,15.8,16.0,12.0
273,4925.0,2.0,3.0,3.0,271905.0,2.5,79.5,2.0,7.7,1.0,0.0
274,7988.0,4.0,3.0,4.0,261421.0,24.6,67.1,1.0,15.0,51.0,44.0
276,4043.0,5.0,5.0,4.0,344067.0,10.3,75.2,1.0,17.9,56.0,52.0
277,4061.0,5.0,4.0,5.0,301209.0,11.1,69.2,1.0,16.5,103.0,90.0
278,4980.0,4.0,5.0,4.0,283214.0,23.3,60.0,1.0,17.0,40.0,33.0
279,4215.0,4.0,4.0,4.0,263850.0,5.9,88.2,1.0,18.0,18.0,17.0
281,4202.0,5.0,5.0,5.0,294600.0,19.3,72.1,1.0,16.5,72.0,69.0
286,4633.0,4.0,4.0,3.0,295800.0,11.8,51.9,1.0,18.3,21.0,17.0
288,4922.0,4.0,4.0,5.0,378456.0,13.9,57.2,1.0,16.8,73.0,67.0
293,4118.0,5.0,5.0,5.0,286947.0,14.8,66.6,1.0,17.5,131.0,105.0
295,7947.0,5.0,5.0,4.0,354186.0,7.9,49.3,1.0,13.6,43.0,41.0
297,4088.0,4.0,4.0,3.0,348812.0,14.2,57.0,1.0,13.1,42.0,39.0
299,4929.0,3.0,3.0,2.0,290000.0,12.1,54.0,1.0,7.6,6.0,3.0
302,4206.0,4.0,5.0,5.0,272294.0,7.0,55.9,1.0,16.1,54.0,44.0
303,4985.0,5.0,5.0,5.0,269825.0,10.0,70.4,1.0,14.8,39.0,36.0
304,7908.0,3.0,3.0,4.0,237000.0,12.2,84.0,1.0,21.6,10.0,5.0
305,4189.0,4.0,4.0,4.0,315833.0,18.8,78.8,1.0,15.9,20.0,19.0
306,4185.0,5.0,5.0,5.0,346100.0,12.3,80.6,1.0,13.8,87.0,81.0
308,4975.0,4.0,4.0,3.0,333000.0,7.6,80.2,1.0,14.5,7.0,5.0
310,4631.0,4.0,4.0,4.0,315666.0,9.6,63.1,1.0,19.0,63.0,59.0
311,4401.0,4.0,4.0,4.0,293820.0,12.8,69.7,1.0,15.6,91.0,83.0
313,4554.0,3.0,3.0,3.0,274131.0,7.5,64.9,1.0,11.7,17.0,15.0
315,4539.0,3.0,3.0,3.0,308727.0,2.9,43.1,1.0,13.7,27.0,19.0
319,4519.0,5.0,5.0,5.0,306087.0,18.2,59.4,1.0,16.9,116.0,112.0
320,4568.0,5.0,5.0,5.0,355617.0,10.1,77.1,1.0,19.6,132.0,127.0
322,4578.0,4.0,4.0,4.0,295122.0,6.0,64.2,1.0,17.3,183.0,172.0
325,4528.0,5.0,5.0,5.0,313920.0,16.6,56.2,1.0,16.3,86.0,83.0
327,4534.0,4.0,4.0,4.0,315012.0,8.5,58.3,1.0,17.0,36.0,33.0
329,4151.0,5.0,5.0,5.0,315078.0,14.2,70.0,1.0,17.4,55.0,53.0
330,4530.0,4.0,3.0,4.0,351198.0,6.8,60.7,1.0,14.1,67.0,59.0
332,4507.0,4.0,4.0,5.0,314126.0,8.5,58.3,1.0,15.7,100.0,94.0
334,4527.0,3.0,4.0,5.0,378305.0,13.6,67.4,1.0,13.2,21.0,20.0
335,4587.0,4.0,4.0,3.0,285714.0,6.3,67.7,1.0,3.5,1.0,1.0
338,4577.0,3.0,3.0,3.0,241506.0,15.6,63.8,2.0,11.0,8.0,8.0
343,4523.0,4.0,5.0,5.0,415300.0,12.5,59.3,1.0,18.9,59.0,48.0
344,4503.0,4.0,3.0,5.0,324000.0,9.9,70.5,1.0,17.4,115.0,96.0
345,4886.0,3.0,4.0,4.0,346892.0,2.3,68.4,1.0,20.0,25.0,25.0
348,5019.0,4.0,5.0,5.0,361585.0,20.0,69.5,1.0,18.5,125.0,118.0
350,5021.0,4.0,4.0,5.0,299059.0,23.4,81.3,1.0,16.8,62.0,59.0
353,5121.0,3.0,4.0,4.0,304477.0,5.3,60.5,1.0,13.0,14.0,14.0
354,5162.0,3.0,3.0,3.0,261166.0,7.9,49.2,1.0,14.8,7.0,7.0
356,5110.0,5.0,5.0,5.0,337807.0,15.4,69.9,1.0,15.9,175.0,145.0
357,5192.0,4.0,3.0,4.0,293400.0,4.2,59.2,1.0,17.7,33.0,31.0
358,5101.0,5.0,5.0,5.0,282683.0,20.4,57.0,1.0,16.7,88.0,77.0
359,5108.0,5.0,5.0,5.0,309590.0,12.1,74.0,1.0,14.3,191.0,165.0
360,5195.0,4.0,4.0,4.0,283614.0,13.9,58.1,1.0,15.9,19.0,19.0
364,5105.0,5.0,4.0,5.0,270553.0,20.0,57.8,1.0,14.3,94.0,74.0
367,5202.0,4.0,5.0,4.0,295198.0,9.5,74.1,1.0,21.3,24.0,17.0
368,5334.0,4.0,5.0,5.0,303123.0,8.0,78.4,1.0,17.7,143.0,133.0
369,5214.0,4.0,4.0,4.0,286406.0,17.2,67.9,1.0,23.7,37.0,33.0
370,5210.0,4.0,3.0,3.0,317283.0,5.3,51.3,1.0,20.9,26.0,19.0
371,5269.0,3.0,3.0,3.0,313000.0,26.7,56.1,1.0,10.8,12.0,10.0
372,5333.0,5.0,5.0,5.0,322838.0,21.6,67.5,1.0,14.3,104.0,100.0
374,5233.0,5.0,4.0,4.0,319740.0,17.5,74.5,1.0,18.5,92.0,85.0
376,5232.0,4.0,4.0,3.0,284194.0,9.7,76.3,1.0,18.3,33.0,30.0
379,7943.0,3.0,2.0,2.0,307280.0,13.0,52.9,1.0,17.3,18.0,17.0
380,5393.0,4.0,4.0,3.0,291035.0,12.4,63.9,1.0,14.6,80.0,76.0
381,5332.0,5.0,5.0,5.0,327779.0,9.0,89.1,1.0,16.7,141.0,130.0
382,5201.0,4.0,4.0,5.0,330163.0,15.9,85.9,1.0,17.9,164.0,151.0
384,5486.0,4.0,4.0,4.0,305100.0,18.6,67.5,3.0,20.1,194.0,163.0
388,5491.0,3.0,3.0,3.0,386949.0,8.7,43.2,2.0,17.2,34.0,28.0
392,5471.0,4.0,3.0,4.0,288596.0,11.1,42.3,2.0,16.4,144.0,136.0
395,5632.0,3.0,4.0,3.0,287463.0,5.2,43.5,2.0,20.1,53.0,11.0
397,5440.0,3.0,3.0,3.0,301400.0,16.7,64.6,2.0,15.9,19.0,15.0
398,5482.0,5.0,5.0,5.0,291525.0,20.8,59.5,3.0,18.0,105.0,93.0
401,5699.0,3.0,3.0,2.0,254380.0,13.0,54.3,2.0,6.1,1.0,0.0
404,5727.0,3.0,3.0,3.0,265894.0,14.0,78.8,1.0,14.6,15.0,14.0
407,5805.0,5.0,4.0,4.0,266273.0,19.0,63.2,1.0,19.0,19.0,16.0
