,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年前4月1日入社・合計(入社者定着状況),うち直近4月1日在籍者・合計(入社者定着状況)
891,9301.0,3.0,4.0,3.0,339600.0,26.7,52.4,1.0,15.7,47.0,45.0
892,9302.0,3.0,4.0,3.0,266601.0,21.7,55.9,1.0,14.7,21.0,17.0
893,9375.0,3.0,4.0,3.0,282421.0,18.0,31.7,1.0,11.8,82.0,67.0
900,4307.0,5.0,4.0,4.0,370000.0,33.5,64.1,1.0,14.7,315.0,291.0
901,9749.0,4.0,4.0,5.0,270831.0,23.3,67.5,1.0,9.8,800.0,605.0
903,9432.0,5.0,5.0,5.0,306410.0,18.0,82.9,1.0,18.3,67.0,61.0
904,8056.0,5.0,5.0,5.0,308624.0,14.8,70.9,1.0,21.0,84.0,78.0
906,2327.0,3.0,4.0,3.0,310000.0,11.4,68.5,1.0,12.7,144.0,134.0
910,4430.0,2.0,3.0,2.0,299595.0,16.5,81.3,2.0,11.2,40.0,37.0
911,8157.0,3.0,3.0,3.0,314000.0,27.2,80.5,1.0,19.7,56.0,51.0
915,4768.0,3.0,4.0,3.0,297300.0,15.2,58.9,1.0,17.2,296.0,228.0
921,9470.0,3.0,4.0,3.0,284517.0,21.9,58.0,1.0,20.7,23.0,21.0
922,4739.0,5.0,5.0,5.0,303856.0,15.7,61.0,1.0,13.4,156.0,148.0
926,3857.0,3.0,3.0,3.0,426643.0,12.4,54.8,1.0,10.8,68.0,59.0
935,9441.0,3.0,3.0,3.0,285921.0,24.2,44.3,1.0,5.3,88.0,63.0
954,4728.0,3.0,3.0,3.0,323977.0,20.6,62.9,1.0,8.1,54.0,46.0
956,3762.0,3.0,3.0,2.0,319375.0,20.1,45.1,1.0,8.2,16.0,15.0
959,3738.0,3.0,3.0,4.0,275500.0,18.4,69.9,1.0,10.5,214.0,142.0
964,9434.0,4.0,5.0,5.0,310699.0,27.2,61.8,1.0,12.7,400.0,314.0
974,3826.0,3.0,3.0,3.0,285348.0,20.7,65.2,1.0,6.7,7.0,5.0
975,2317.0,3.0,3.0,3.0,315175.0,13.5,62.1,1.0,6.8,173.0,126.0
976,9692.0,3.0,4.0,4.0,272000.0,17.1,70.5,1.0,16.6,33.0,27.0
979,3744.0,3.0,3.0,3.0,370278.0,17.5,58.2,1.0,1.7,8.0,6.0
982,9422.0,4.0,5.0,4.0,223825.0,12.4,68.2,1.0,8.1,222.0,143.0
984,2307.0,2.0,3.0,3.0,285667.0,22.2,66.1,1.0,12.1,28.0,24.0
988,2332.0,3.0,3.0,3.0,245000.0,18.3,56.8,1.0,12.4,38.0,29.0
991,3799.0,4.0,4.0,4.0,269460.0,22.1,58.0,1.0,17.6,31.0,23.0
998,3987.0,2.0,2.0,2.0,319000.0,1.1,69.2,1.0,3.5,1.0,1.0
1001,7860.0,3.0,3.0,3.0,387741.0,20.0,53.7,1.0,12.8,20.0,19.0
1003,4825.0,3.0,4.0,3.0,410900.0,12.0,42.1,1.0,10.0,39.0,30.0
1005,4769.0,3.0,2.0,2.0,325845.0,18.0,82.8,1.0,13.4,35.0,31.0
1007,4326.0,3.0,4.0,3.0,307157.0,21.4,47.3,1.0,16.7,58.0,52.0
1014,9600.0,3.0,3.0,3.0,249822.0,11.6,61.2,1.0,16.7,44.0,32.0
1015,3660.0,1.0,3.0,3.0,360420.0,13.4,55.6,1.0,3.9,19.0,10.0
1016,9753.0,3.0,3.0,3.0,413589.0,12.5,71.2,1.0,14.1,77.0,59.0
1017,9702.0,3.0,3.0,3.0,277609.0,20.2,63.5,1.0,12.9,46.0,30.0
1018,4689.0,4.0,5.0,5.0,376433.0,19.0,60.9,1.0,6.5,312.0,252.0
1021,3626.0,4.0,5.0,5.0,310166.0,17.9,66.7,1.0,14.7,213.0,182.0
1023,9719.0,4.0,4.0,5.0,412208.0,20.6,88.7,1.0,18.4,233.0,227.0
1024,3839.0,3.0,3.0,2.0,257000.0,20.0,55.0,1.0,13.6,5.0,5.0
1028,9613.0,4.0,5.0,5.0,283460.0,25.4,80.5,1.0,14.8,418.0,400.0
1030,9739.0,3.0,3.0,3.0,277333.0,19.5,60.0,1.0,14.4,78.0,58.0
1033,1973.0,5.0,5.0,5.0,292965.0,22.3,60.0,1.0,16.8,97.0,80.0
1037,9433.0,5.0,5.0,5.0,311826.0,19.5,73.9,1.0,17.6,287.0,275.0
1040,4832.0,3.0,3.0,3.0,277017.0,22.2,64.5,2.0,19.0,50.0,45.0
1041,9889.0,3.0,4.0,4.0,325700.0,12.5,56.2,1.0,17.7,58.0,35.0
1043,4709.0,3.0,4.0,4.0,258431.0,10.1,83.5,1.0,14.9,46.0,28.0
1046,9449.0,3.0,3.0,3.0,390053.0,15.4,50.3,3.0,6.1,60.0,50.0
1051,9682.0,4.0,3.0,3.0,273041.0,21.8,68.9,1.0,14.6,131.0,110.0
1054,8159.0,3.0,3.0,3.0,255522.0,11.7,46.5,3.0,16.8,40.0,36.0
1058,8015.0,5.0,5.0,5.0,355172.0,18.0,52.9,1.0,16.7,70.0,61.0
1060,8068.0,4.0,4.0,3.0,294000.0,18.3,48.4,1.0,15.7,14.0,14.0
1061,8084.0,4.0,3.0,3.0,261750.0,12.9,62.6,1.0,17.5,30.0,24.0
1062,3153.0,4.0,5.0,4.0,313194.0,15.5,65.8,1.0,18.0,27.0,16.0
1063,7433.0,4.0,3.0,4.0,371130.0,6.8,61.6,1.0,13.8,13.0,12.0
1065,8032.0,3.0,4.0,3.0,361154.0,25.0,67.7,1.0,18.8,9.0,8.0
1070,9902.0,3.0,3.0,3.0,269811.0,6.3,57.3,1.0,12.5,62.0,47.0
1076,2760.0,3.0,3.0,3.0,308973.0,15.0,57.6,1.0,13.4,22.0,17.0
1077,9960.0,3.0,3.0,3.0,309827.0,21.4,53.0,1.0,11.7,45.0,40.0
1080,8012.0,4.0,4.0,4.0,455278.0,17.2,54.2,1.0,14.8,38.0,35.0
1082,8145.0,2.0,2.0,3.0,271500.0,22.0,32.9,1.0,21.8,2.0,1.0
1086,7458.0,3.0,4.0,3.0,288494.0,11.0,49.5,1.0,11.4,43.0,32.0
1088,2768.0,5.0,5.0,4.0,438600.0,20.6,64.4,1.0,15.4,120.0,113.0
1091,3004.0,3.0,3.0,3.0,304138.0,4.2,49.7,1.0,14.1,9.0,7.0
1095,8053.0,5.0,5.0,5.0,502000.0,12.8,64.8,1.0,18.1,162.0,159.0
1097,8051.0,4.0,4.0,4.0,397055.0,22.6,57.6,1.0,13.5,97.0,73.0
1099,8058.0,5.0,5.0,4.0,475570.0,27.2,54.8,1.0,18.4,171.0,163.0
1102,8031.0,5.0,5.0,5.0,479824.0,6.4,60.0,1.0,18.2,158.0,152.0
1104,8078.0,4.0,3.0,3.0,355068.0,23.8,60.2,1.0,12.5,100.0,82.0
1109,8020.0,3.0,4.0,4.0,408382.0,18.1,62.4,1.0,13.8,44.0,41.0
1111,8088.0,4.0,3.0,4.0,367500.0,7.8,54.6,1.0,15.5,64.0,59.0
1112,7537.0,3.0,4.0,4.0,317300.0,19.4,57.8,1.0,15.5,25.0,21.0
1114,9869.0,3.0,3.0,3.0,301248.0,14.6,57.8,2.0,15.4,40.0,33.0
1115,8154.0,4.0,3.0,3.0,380459.0,13.0,53.2,3.0,15.4,16.0,16.0
1116,7485.0,4.0,4.0,5.0,393545.0,13.0,47.7,1.0,12.8,29.0,26.0
1117,7443.0,3.0,2.0,2.0,258330.0,21.5,39.2,1.0,22.3,1.0,0.0
1120,8098.0,3.0,4.0,3.0,365485.0,14.2,48.7,1.0,13.6,27.0,24.0
1122,8001.0,5.0,5.0,5.0,450000.0,11.6,52.6,1.0,17.9,137.0,132.0
1123,8133.0,4.0,4.0,4.0,349926.0,9.6,83.0,1.0,13.5,24.0,23.0
1125,8140.0,4.0,4.0,3.0,300000.0,8.5,42.3,1.0,16.2,25.0,21.0
1127,8074.0,3.0,3.0,4.0,378000.0,15.7,52.1,1.0,12.3,65.0,58.0
1130,9837.0,3.0,3.0,3.0,284490.0,6.7,50.6,1.0,10.6,11.0,10.0
1131,8153.0,4.0,5.0,4.0,266273.0,14.4,56.4,1.0,16.7,21.0,14.0
1132,7459.0,3.0,3.0,3.0,296100.0,10.2,45.1,3.0,16.9,54.0,51.0
1138,8228.0,3.0,3.0,3.0,265141.0,26.1,48.1,1.0,16.2,25.0,20.0
1141,8275.0,3.0,3.0,3.0,530148.0,3.8,63.9,1.0,10.4,75.0,39.0
1144,7552.0,3.0,3.0,3.0,350138.0,13.3,59.3,2.0,14.3,36.0,30.0
1149,8085.0,3.0,3.0,3.0,268000.0,4.4,60.7,1.0,16.1,12.0,9.0
1151,9830.0,4.0,4.0,4.0,282631.0,11.3,67.6,1.0,13.6,118.0,89.0
1152,8142.0,3.0,4.0,4.0,244970.0,3.6,48.9,1.0,16.5,64.0,45.0
1155,8249.0,4.0,4.0,3.0,287548.0,6.3,59.9,3.0,17.0,20.0,17.0
1158,7510.0,3.0,3.0,3.0,342333.0,8.8,51.8,3.0,16.7,18.0,18.0
1166,8043.0,3.0,3.0,3.0,399618.0,28.8,36.5,1.0,12.8,50.0,34.0
1167,7482.0,3.0,3.0,3.0,265000.0,9.2,66.8,1.0,15.2,34.0,29.0
1168,8132.0,3.0,4.0,4.0,342500.0,15.9,48.8,1.0,10.0,28.0,22.0
1171,8130.0,4.0,4.0,4.0,261000.0,22.1,66.5,1.0,15.8,37.0,34.0
1175,9995.0,3.0,3.0,4.0,305125.0,10.5,86.9,1.0,13.8,15.0,12.0
1178,3024.0,2.0,3.0,2.0,296100.0,20.5,51.7,1.0,14.8,11.0,5.0
1182,8081.0,3.0,4.0,3.0,327305.0,12.9,47.8,1.0,17.6,12.0,12.0
1184,9832.0,3.0,3.0,3.0,306506.0,5.5,62.2,1.0,16.1,18.0,14.0
1191,9964.0,2.0,2.0,2.0,252765.0,9.2,60.8,1.0,9.8,14.0,13.0
1196,7624.0,3.0,3.0,2.0,270667.0,13.1,37.7,1.0,17.8,12.0,11.0
1197,8101.0,3.0,3.0,2.0,275533.0,7.8,63.0,1.0,16.0,13.0,10.0
1198,7453.0,3.0,5.0,4.0,248684.0,14.0,45.3,1.0,7.3,60.0,39.0
1201,8276.0,4.0,3.0,4.0,281990.0,11.6,70.9,1.0,17.7,187.0,114.0
1203,3192.0,3.0,3.0,3.0,246067.0,12.9,69.4,1.0,5.7,3.0,3.0
1205,2702.0,3.0,3.0,4.0,349843.0,18.7,49.6,1.0,13.2,71.0,45.0
1206,9873.0,3.0,4.0,4.0,260887.0,13.2,50.3,1.0,15.0,38.0,27.0
1208,9846.0,2.0,3.0,3.0,233433.0,3.7,44.1,1.0,17.6,18.0,9.0
1211,8219.0,4.0,4.0,3.0,238154.0,17.3,71.5,1.0,13.0,280.0,195.0
1214,3099.0,4.0,5.0,5.0,310320.0,4.5,63.3,1.0,20.9,230.0,183.0
1215,8233.0,4.0,4.0,4.0,286913.0,4.1,53.7,1.0,24.1,77.0,68.0
1216,9853.0,3.0,3.0,3.0,280100.0,1.5,128.0,1.0,10.8,8.0,2.0
1217,8252.0,4.0,5.0,5.0,303132.0,3.9,57.5,1.0,15.8,48.0,42.0
1218,9936.0,3.0,3.0,3.0,334354.0,28.5,44.1,1.0,10.5,56.0,35.0
1221,7522.0,5.0,3.0,3.0,281098.0,26.1,30.3,1.0,6.9,28.0,9.0
1224,2651.0,5.0,4.0,4.0,290154.0,9.4,54.2,1.0,13.6,187.0,152.0
1226,8167.0,3.0,3.0,3.0,260355.0,14.0,45.1,1.0,15.0,28.0,16.0
1228,7606.0,3.0,3.0,3.0,248762.0,7.6,58.5,1.0,7.8,223.0,156.0
1229,8190.0,3.0,3.0,3.0,239571.0,21.3,49.7,1.0,22.3,19.0,9.0
1230,9831.0,3.0,5.0,4.0,277411.0,10.9,48.0,1.0,13.8,87.0,52.0
1231,9993.0,3.0,3.0,3.0,306011.0,5.1,34.2,2.0,18.4,18.0,15.0
1234,9946.0,3.0,3.0,3.0,276643.0,13.8,36.0,1.0,15.3,43.0,20.0
1256,7506.0,2.0,2.0,3.0,255500.0,1.5,59.2,1.0,8.1,1.0,0.0
1257,2674.0,3.0,2.0,3.0,324164.0,11.2,42.7,1.0,9.5,12.0,7.0
1258,7561.0,3.0,3.0,3.0,382500.0,15.0,48.2,1.0,9.4,11.0,5.0
1262,3397.0,4.0,4.0,4.0,372357.0,27.3,44.2,1.0,4.6,187.0,58.0
1265,3382.0,5.0,5.0,5.0,324588.0,16.8,57.4,1.0,17.1,866.0,673.0
1268,3197.0,3.0,4.0,3.0,265300.0,17.0,77.4,1.0,15.7,205.0,128.0
1273,8227.0,3.0,4.0,3.0,342637.0,0.1,65.4,1.0,15.2,79.0,53.0
1293,2730.0,3.0,4.0,3.0,241990.0,15.4,36.8,1.0,17.0,347.0,242.0
1295,3136.0,3.0,3.0,2.0,280000.0,10.0,45.8,1.0,9.5,6.0,5.0
1298,8242.0,4.0,4.0,4.0,276172.0,6.6,46.3,1.0,17.0,57.0,49.0
1299,3141.0,3.0,3.0,3.0,256435.0,6.2,58.4,1.0,3.9,550.0,448.0
1301,8182.0,3.0,3.0,3.0,296027.0,15.6,48.0,1.0,20.6,69.0,46.0
1302,8273.0,3.0,3.0,3.0,326664.0,17.2,61.8,1.0,15.1,178.0,139.0
1304,8267.0,5.0,5.0,5.0,296039.0,5.5,64.6,1.0,19.1,970.0,700.0
1307,2685.0,3.0,4.0,4.0,274714.0,6.2,65.0,1.0,5.7,321.0,219.0
1308,2678.0,4.0,4.0,4.0,375506.0,27.4,69.3,1.0,9.1,16.0,11.0
1310,8255.0,4.0,3.0,3.0,311109.0,16.3,77.2,2.0,8.3,77.0,59.0
1311,9627.0,3.0,4.0,4.0,329724.0,3.9,53.0,1.0,6.7,407.0,297.0
1313,3092.0,3.0,4.0,4.0,374571.0,10.0,105.8,1.0,5.5,12.0,10.0
1316,8163.0,3.0,3.0,3.0,278333.0,15.9,46.1,1.0,16.7,7.0,5.0
1321,3086.0,5.0,5.0,5.0,307813.0,3.0,51.7,1.0,22.9,45.0,38.0
1334,8554.0,3.0,3.0,3.0,265259.0,11.2,57.1,1.0,15.7,45.0,36.0
1341,8392.0,2.0,3.0,3.0,262506.0,12.1,62.7,1.0,15.3,87.0,66.0
1351,8341.0,3.0,3.0,3.0,339800.0,15.4,73.0,1.0,15.7,151.0,121.0
1352,8366.0,4.0,4.0,3.0,285685.0,9.1,53.8,1.0,14.7,118.0,77.0
1354,8381.0,3.0,3.0,3.0,275878.0,13.0,68.8,1.0,17.6,92.0,75.0
1355,8306.0,5.0,5.0,5.0,394726.0,19.4,73.9,1.0,14.7,1020.0,901.0
1356,8316.0,5.0,5.0,5.0,385298.0,23.0,81.2,1.0,14.5,803.0,702.0
1362,8370.0,3.0,3.0,3.0,303900.0,6.2,43.6,1.0,15.0,150.0,110.0
1365,8385.0,3.0,3.0,3.0,324256.0,11.7,69.6,1.0,15.6,185.0,149.0
1369,8350.0,3.0,3.0,3.0,235753.0,11.3,77.3,1.0,16.4,53.0,44.0
1370,8411.0,5.0,5.0,5.0,399713.0,21.1,70.3,1.0,15.3,1452.0,1237.0
1374,8304.0,3.0,5.0,4.0,408500.0,21.2,72.1,1.0,14.9,62.0,54.0
1375,8604.0,5.0,4.0,5.0,435633.0,14.5,65.0,1.0,16.0,641.0,499.0
1377,8601.0,5.0,5.0,5.0,396704.0,21.2,71.7,1.0,14.4,474.0,328.0
1380,8706.0,2.0,3.0,3.0,268000.0,25.0,40.4,1.0,16.0,9.0,5.0
1387,8624.0,3.0,3.0,3.0,248679.0,17.8,48.9,1.0,14.3,58.0,36.0
1388,8708.0,2.0,2.0,3.0,287084.0,8.9,37.9,1.0,13.8,31.0,21.0
1389,8473.0,3.0,3.0,3.0,458215.0,16.2,60.9,1.0,6.1,15.0,9.0
1393,8766.0,5.0,5.0,5.0,375796.0,10.8,72.9,1.0,15.4,576.0,518.0
1395,8750.0,5.0,5.0,5.0,487078.0,4.5,64.0,1.0,12.0,778.0,731.0
1402,8795.0,4.0,5.0,5.0,425000.0,4.5,80.3,1.0,18.8,196.0,162.0
1403,8630.0,5.0,5.0,5.0,465960.0,7.7,80.4,1.0,14.3,670.0,579.0
1404,8725.0,5.0,5.0,5.0,367120.0,15.5,68.1,1.0,13.4,1258.0,1059.0
1405,8424.0,4.0,5.0,4.0,316779.0,11.6,72.0,1.0,14.5,35.0,33.0
1407,8439.0,4.0,5.0,4.0,335770.0,10.2,72.7,1.0,17.1,24.0,23.0
1412,8566.0,5.0,4.0,5.0,281030.0,10.4,67.8,1.0,13.6,16.0,14.0
1413,7199.0,3.0,3.0,3.0,313071.0,20.2,66.8,1.0,6.2,22.0,15.0
1414,7187.0,2.0,2.0,3.0,388750.0,24.6,63.4,1.0,6.0,28.0,20.0
1415,8253.0,3.0,4.0,4.0,298694.0,9.3,72.4,1.0,13.6,177.0,145.0
1416,8591.0,3.0,4.0,4.0,402048.0,23.5,71.4,1.0,17.3,68.0,65.0
1417,8585.0,4.0,4.0,5.0,284990.0,15.3,61.2,1.0,16.2,221.0,160.0
1418,7191.0,2.0,2.0,2.0,303992.0,17.0,67.8,1.0,4.7,2.0,1.0
1419,8570.0,3.0,4.0,4.0,273500.0,20.5,71.4,1.0,2.3,105.0,82.0
1421,8572.0,3.0,5.0,4.0,288572.0,19.0,72.4,1.0,14.8,113.0,83.0
1422,8793.0,4.0,4.0,4.0,286525.0,22.0,61.2,1.0,13.2,16.0,15.0
1423,8931.0,3.0,3.0,3.0,298114.0,11.6,61.3,1.0,10.7,4.0,4.0
1424,3231.0,4.0,5.0,4.0,396685.0,12.1,60.5,1.0,15.4,48.0,45.0
1428,8892.0,3.0,3.0,3.0,414220.0,34.3,53.9,1.0,4.3,11.0,7.0
1437,8848.0,4.0,4.0,5.0,248312.0,11.4,90.5,1.0,10.5,302.0,175.0
1446,8923.0,3.0,4.0,3.0,282250.0,26.7,55.3,1.0,5.8,12.0,10.0
1450,3277.0,2.0,2.0,2.0,327857.0,9.7,73.8,1.0,7.9,7.0,3.0
1459,8905.0,5.0,4.0,4.0,316904.0,10.2,55.8,1.0,7.6,110.0,94.0
1467,3491.0,3.0,3.0,3.0,549707.0,24.0,27.8,1.0,1.6,20.0,8.0
1476,2433.0,5.0,4.0,4.0,463900.0,22.7,31.0,1.0,12.3,108.0,100.0
1481,1954.0,3.0,3.0,3.0,259918.0,37.1,54.3,1.0,14.2,76.0,66.0
1490,4324.0,4.0,4.0,5.0,403000.0,12.5,47.0,1.0,14.2,145.0,136.0
1492,9708.0,3.0,3.0,3.0,298300.0,1.8,37.4,1.0,14.0,108.0,82.0
1493,9743.0,3.0,4.0,4.0,281985.0,22.3,52.6,1.0,15.3,41.0,40.0
1495,9757.0,3.0,4.0,3.0,269250.0,6.0,56.1,1.0,9.4,2.0,2.0
1498,2179.0,3.0,3.0,2.0,231203.0,12.9,61.2,1.0,6.0,33.0,15.0
1512,4708.0,3.0,3.0,3.0,235427.0,8.2,84.4,1.0,8.2,16.0,13.0
1514,4681.0,3.0,3.0,4.0,294672.0,10.4,45.1,1.0,8.7,468.0,266.0
1516,7065.0,3.0,3.0,3.0,327310.0,18.0,58.0,1.0,8.6,5.0,5.0
1523,6183.0,3.0,5.0,5.0,268521.0,28.3,65.5,1.0,12.4,29.0,27.0
1524,9783.0,5.0,5.0,5.0,303080.0,26.5,50.1,1.0,13.6,77.0,67.0
1529,2424.0,3.0,2.0,2.0,332187.0,10.8,12.7,1.0,4.7,49.0,41.0
1532,2469.0,3.0,3.0,3.0,268388.0,7.3,34.1,1.0,14.5,11.0,9.0
1535,2168.0,3.0,5.0,4.0,327000.0,16.1,62.1,1.0,9.1,182.0,139.0
1545,9715.0,3.0,3.0,4.0,295260.0,17.6,55.9,1.0,8.8,665.0,446.0
1549,2379.0,3.0,3.0,3.0,357094.0,23.1,44.9,1.0,4.0,296.0,188.0
1552,7045.0,2.0,3.0,3.0,230233.0,17.2,45.4,1.0,6.0,2.0,2.0
1554,4665.0,5.0,5.0,4.0,243514.0,5.3,69.4,1.0,15.4,40.0,35.0
1556,9793.0,4.0,3.0,3.0,312051.0,43.8,67.0,1.0,11.3,6.0,4.0
1561,9625.0,3.0,3.0,3.0,395000.0,4.0,30.3,1.0,15.5,13.0,13.0
1562,4293.0,3.0,4.0,3.0,443050.0,18.0,60.7,1.0,4.8,95.0,70.0
1566,6196.0,3.0,2.0,2.0,426671.0,5.8,52.9,2.0,2.6,5.0,4.0
1576,7081.0,3.0,3.0,3.0,270610.0,21.4,48.0,1.0,13.3,27.0,13.0
1581,6547.0,3.0,4.0,3.0,284597.0,9.1,58.7,1.0,7.0,31.0,13.0
1586,2371.0,3.0,4.0,4.0,359558.0,23.2,63.0,1.0,5.2,18.0,16.0
1589,9765.0,3.0,4.0,4.0,246543.0,29.2,63.2,1.0,15.3,17.0,15.0
1594,2471.0,3.0,3.0,3.0,338550.0,9.4,56.9,1.0,3.4,8.0,4.0
1601,7087.0,3.0,3.0,3.0,283169.0,18.4,69.1,1.0,4.3,34.0,8.0
1604,6200.0,2.0,2.0,2.0,290744.0,24.8,90.7,1.0,3.2,31.0,19.0
1606,9619.0,3.0,2.0,2.0,332976.0,15.3,65.7,1.0,11.6,21.0,16.0
1608,9787.0,4.0,5.0,5.0,305025.0,9.5,67.3,1.0,11.8,58.0,47.0
1616,2427.0,3.0,3.0,3.0,278467.0,14.2,74.4,1.0,3.2,129.0,55.0
1617,2198.0,2.0,3.0,3.0,329476.0,11.0,52.8,2.0,5.5,123.0,74.0
1620,6071.0,3.0,3.0,3.0,320634.0,10.0,74.1,1.0,4.0,22.0,13.0
1621,4544.0,4.0,5.0,5.0,250344.0,17.1,48.2,1.0,12.8,288.0,208.0
1627,2331.0,4.0,4.0,5.0,265704.0,36.0,53.1,1.0,17.4,425.0,253.0
1628,7083.0,2.0,3.0,2.0,268390.0,3.0,46.9,1.0,3.0,1.0,1.0
