,証券コード,環境(5),企業統治(5),社会性(5),30歳平均賃金,月平均残業時間,有休取得率/前期,従業員の能力・評価結果の公開,勤続年数合計/前期,3年以内離職率,資産合計,自己資本,純利益,ROA,ROE
154,4410.0,4.0,3.0,3.0,333416.0,11.7,66.0,1.0,15.8,0.25,36450.0,24749.0,-81.0,-0.2222222222222222,-0.32728595094751306
155,4925.0,2.0,3.0,3.0,271905.0,2.5,79.5,2.0,7.7,1.0,10273.0,7269.0,-299.0,-2.9105421979947437,-4.113358096024212
156,7988.0,4.0,3.0,4.0,261421.0,24.6,67.1,1.0,15.0,0.1372549019607843,191152.0,115575.0,16629.0,8.699359671884155,14.388059701492537
157,4043.0,5.0,5.0,4.0,344067.0,10.3,75.2,1.0,17.9,0.0714285714285714,354316.0,168828.0,22614.0,6.382438275437745,13.394697562015779
158,4061.0,5.0,4.0,5.0,301209.0,11.1,69.2,1.0,16.5,0.1262135922330097,465179.0,225792.0,15953.0,3.4294325410218427,7.065352182539683
159,4980.0,4.0,5.0,4.0,283214.0,23.3,60.0,1.0,17.0,0.175,111751.0,53497.0,14579.0,13.045968268740324,27.25199543899658
160,4202.0,5.0,5.0,5.0,294600.0,19.3,72.1,1.0,16.5,0.0416666666666666,624190.0,280442.0,28431.0,4.554863102580945,10.137925132469459
161,4633.0,4.0,4.0,3.0,295800.0,11.8,51.9,1.0,18.3,0.1904761904761904,97196.0,58517.0,3382.0,3.4795670603728546,5.779517063417469
162,4922.0,4.0,4.0,5.0,378456.0,13.9,57.2,1.0,16.8,0.0821917808219178,186374.0,152610.0,14656.0,7.863757820296822,9.603564641897648
163,4118.0,5.0,5.0,5.0,286947.0,14.8,66.6,1.0,17.5,0.1984732824427481,490722.0,272728.0,28347.0,5.776590411679117,10.393872283007246
164,7947.0,5.0,5.0,4.0,354186.0,7.9,49.3,1.0,13.6,0.0465116279069767,238616.0,108133.0,13236.0,5.546987628658598,12.240481629104899
165,4088.0,4.0,4.0,3.0,348812.0,14.2,57.0,1.0,13.1,0.0714285714285714,529393.0,208902.0,12950.0,2.446197815233673,6.199078993978038
166,4929.0,3.0,3.0,2.0,290000.0,12.1,54.0,1.0,7.6,0.5,4875.0,4291.0,348.0,7.138461538461538,8.109997669540899
167,4206.0,4.0,5.0,5.0,272294.0,7.0,55.9,1.0,16.1,0.1851851851851851,159860.0,125203.0,11949.0,7.474665332165645,9.543701029528046
168,4985.0,5.0,5.0,5.0,269825.0,10.0,70.4,1.0,14.8,0.0769230769230769,103097.0,61077.0,6309.0,6.119479713279727,10.32958396777838
169,7908.0,3.0,3.0,4.0,237000.0,12.2,84.0,1.0,21.6,0.5,23530.0,18547.0,764.0,3.246918827029324,4.119264571089664
170,4189.0,4.0,4.0,4.0,315833.0,18.8,78.8,1.0,15.9,0.05,115796.0,51298.0,13190.0,11.390721613872673,25.71250341143904
171,4975.0,4.0,4.0,3.0,333000.0,7.6,80.2,1.0,14.5,0.2857142857142857,29560.0,24802.0,6045.0,20.449932341001354,24.373034432707037
172,4631.0,4.0,4.0,4.0,315666.0,9.6,63.1,1.0,19.0,0.0634920634920634,829904.0,319291.0,29811.0,3.5921022190518426,9.336623957455737
173,4401.0,4.0,4.0,4.0,293820.0,12.8,69.7,1.0,15.6,0.0879120879120879,260648.0,181670.0,16626.0,6.378717657530462,9.151758683326912
174,4554.0,3.0,3.0,3.0,274131.0,7.5,64.9,1.0,11.7,0.1176470588235294,71263.0,34508.0,2480.0,3.4800667948304174,7.186739306827403
175,4539.0,3.0,3.0,3.0,308727.0,2.9,43.1,1.0,13.7,0.2962962962962963,35103.0,10977.0,249.0,0.709341081958807,2.2683793386171085
176,4519.0,5.0,5.0,5.0,306087.0,18.2,59.4,1.0,16.9,0.0344827586206896,1394918.0,1066062.0,294713.0,21.127621838703064,27.645015017888262
177,4568.0,5.0,5.0,5.0,355617.0,10.1,77.1,1.0,19.6,0.0378787878787878,1638011.0,929444.0,39273.0,2.3976029465003594,4.225429396499412
178,4578.0,4.0,4.0,4.0,295122.0,6.0,64.2,1.0,17.3,0.0601092896174863,1248088.0,1068749.0,106032.0,8.495554800623033,9.921132089948154
179,4528.0,5.0,5.0,5.0,313920.0,16.6,56.2,1.0,16.3,0.0348837209302325,661885.0,599055.0,94594.0,14.29160654796528,15.790536762066923
180,4534.0,4.0,4.0,4.0,315012.0,8.5,58.3,1.0,17.0,0.0833333333333333,156837.0,126385.0,10441.0,6.6572301178931,8.261265181785813
181,4151.0,5.0,5.0,5.0,315078.0,14.2,70.0,1.0,17.4,0.0363636363636363,794087.0,596507.0,66366.0,8.35752253846241,11.125770527420466
182,4530.0,4.0,3.0,4.0,351198.0,6.8,60.7,1.0,14.1,0.1194029850746268,254330.0,222101.0,7169.0,2.818778752015098,3.2278107707754575
183,4507.0,4.0,4.0,5.0,314126.0,8.5,58.3,1.0,15.7,0.06,730120.0,590179.0,90264.0,12.362899249438449,15.294342902746456
184,4527.0,3.0,4.0,5.0,378305.0,13.6,67.4,1.0,13.2,0.0476190476190476,172621.0,122477.0,13035.0,7.5512249378696685,10.642814569266067
185,4587.0,4.0,4.0,3.0,285714.0,6.3,67.7,1.0,3.5,0.0,26619.0,24977.0,3606.0,13.546714752620309,14.43728229971574
186,4577.0,3.0,3.0,3.0,241506.0,15.6,63.8,2.0,11.0,0.0,59719.0,43413.0,4412.0,7.387933488504496,10.162854444521226
187,4523.0,4.0,5.0,5.0,415300.0,12.5,59.3,1.0,18.9,0.1864406779661017,822250.0,465911.0,6741.0,0.8198236546062634,1.4468428519609968
188,4503.0,4.0,3.0,5.0,324000.0,9.9,70.5,1.0,17.4,0.1652173913043478,1388556.0,872992.0,225095.0,16.210725386660673,25.78431417470034
189,4886.0,3.0,4.0,4.0,346892.0,2.3,68.4,1.0,20.0,0.0,41301.0,40695.0,682.0,1.651291736277572,1.6758815579309496
190,5019.0,4.0,5.0,5.0,361585.0,20.0,69.5,1.0,18.5,0.056,3839630.0,1175997.0,271592.0,7.073389883921107,23.09461673796787
191,5021.0,4.0,4.0,5.0,299059.0,23.4,81.3,1.0,16.8,0.0483870967741935,735318.0,116019.0,15906.0,2.1631457410263315,13.709823390996304
192,5121.0,3.0,4.0,4.0,304477.0,5.3,60.5,1.0,13.0,0.0,29588.0,20868.0,2121.0,7.168446667567934,10.163887291546866
193,5162.0,3.0,3.0,3.0,261166.0,7.9,49.2,1.0,14.8,0.0,8942.0,4050.0,175.0,1.9570565868933125,4.320987654320987
194,5110.0,5.0,5.0,5.0,337807.0,15.4,69.9,1.0,15.9,0.1714285714285714,827581.0,375118.0,31174.0,3.7668820332994595,8.31045164454918
195,5192.0,4.0,3.0,4.0,293400.0,4.2,59.2,1.0,17.7,0.0606060606060606,91481.0,56692.0,5556.0,6.073392289109214,9.80032456078459
196,5101.0,5.0,5.0,5.0,282683.0,20.4,57.0,1.0,16.7,0.125,646873.0,355371.0,39959.0,6.177255813737782,11.24430524719237
197,5108.0,5.0,5.0,5.0,309590.0,12.1,74.0,1.0,14.3,0.1361256544502617,2135579.0,1370816.0,167024.0,7.821017157407898,12.184275643120595
198,5195.0,4.0,4.0,4.0,283614.0,13.9,58.1,1.0,15.9,0.0,69345.0,36115.0,-4712.0,-6.795010454971519,-13.047210300429185
199,5105.0,5.0,4.0,5.0,270553.0,20.0,57.8,1.0,14.3,0.2127659574468085,345005.0,168684.0,22813.0,6.61236793669657,13.524104242251783
200,5202.0,4.0,5.0,4.0,295198.0,9.5,74.1,1.0,21.3,0.2916666666666667,678566.0,310873.0,1633.0,0.2406545568154019,0.5252948953431145
201,5334.0,4.0,5.0,5.0,303123.0,8.0,78.4,1.0,17.7,0.0699300699300699,571975.0,337032.0,56157.0,9.81808645482757,16.662216050701417
202,5214.0,4.0,4.0,4.0,286406.0,17.2,67.9,1.0,23.7,0.1081081081081081,577704.0,423252.0,20447.0,3.5393557946630105,4.83092814682506
203,5210.0,4.0,3.0,3.0,317283.0,5.3,51.3,1.0,20.9,0.2692307692307692,83525.0,30403.0,-14314.0,-17.137384016761448,-47.08088017629839
204,5269.0,3.0,3.0,3.0,313000.0,26.7,56.1,1.0,10.8,0.1666666666666666,58336.0,26152.0,622.0,1.066236972024136,2.37840318140104
205,5333.0,5.0,5.0,5.0,322838.0,21.6,67.5,1.0,14.3,0.0384615384615384,619380.0,341678.0,66820.0,10.788207562401112,19.556424469822463
206,5233.0,5.0,4.0,4.0,319740.0,17.5,74.5,1.0,18.5,0.0760869565217391,625047.0,296616.0,22524.0,3.6035690116103267,7.5936564446961725
207,5232.0,4.0,4.0,3.0,284194.0,9.7,76.3,1.0,18.3,0.0909090909090909,282399.0,160913.0,7145.0,2.5301081094479794,4.440287608832102
208,7943.0,3.0,2.0,2.0,307280.0,13.0,52.9,1.0,17.3,0.0555555555555555,125488.0,73915.0,6129.0,4.884132347316078,8.291956977609416
209,5393.0,4.0,4.0,3.0,291035.0,12.4,63.9,1.0,14.6,0.05,185372.0,104471.0,16347.0,8.818483913428134,15.6474045428875
210,5332.0,5.0,5.0,5.0,327779.0,9.0,89.1,1.0,16.7,0.0780141843971631,424615.0,280704.0,36021.0,8.483214205809968,12.832378590971272
211,5201.0,4.0,4.0,5.0,330163.0,15.9,85.9,1.0,17.9,0.0792682926829268,1363848.0,756360.0,117246.0,8.596705791261195,15.50134856417579
212,5491.0,3.0,3.0,3.0,386949.0,8.7,43.2,2.0,17.2,0.1764705882352941,60752.0,18490.0,1788.0,2.9431129839346855,9.67009194159005
213,5471.0,4.0,3.0,4.0,288596.0,11.1,42.3,2.0,16.4,0.0555555555555555,512132.0,227844.0,21539.0,4.205751642154757,9.453397938940679
214,5632.0,3.0,4.0,3.0,287463.0,5.2,43.5,2.0,20.1,0.7924528301886793,80340.0,32763.0,4796.0,5.969629076425194,14.63846412111223
215,5440.0,3.0,3.0,3.0,301400.0,16.7,64.6,2.0,15.9,0.2105263157894736,181819.0,130243.0,2421.0,1.3315440080519638,1.858833104274318
217,5699.0,3.0,3.0,2.0,254380.0,13.0,54.3,2.0,6.1,1.0,5219.0,3257.0,471.0,9.0247173788082,14.4611605772183
218,5727.0,3.0,3.0,3.0,265894.0,14.0,78.8,1.0,14.6,0.0666666666666666,96510.0,45197.0,3796.0,3.9332711636099886,8.398787530145805
219,5805.0,5.0,4.0,4.0,266273.0,19.0,63.2,1.0,19.0,0.1578947368421052,75624.0,33444.0,1515.0,2.003332275468105,4.529960531036957
220,5802.0,4.0,3.0,4.0,356030.0,13.6,79.0,1.0,19.7,0.0759878419452887,1413289.0,781185.0,52354.0,3.7044086524412205,6.70186959555035
221,5713.0,4.0,4.0,4.0,345179.0,16.2,84.9,1.0,19.5,0.109090909090909,1580324.0,1004316.0,231933.0,14.676294228272177,23.093627901975076
222,5711.0,4.0,4.0,4.0,323000.0,14.2,79.5,1.0,17.6,0.1587301587301587,1573837.0,414016.0,29797.0,1.8932710312440235,7.197064847735353
223,5706.0,5.0,5.0,5.0,318675.0,14.7,70.5,1.0,14.2,0.0892857142857142,447408.0,148958.0,35069.0,7.838259485749026,23.542877858188213
224,5801.0,5.0,5.0,5.0,367141.0,21.2,54.9,1.0,18.8,0.0466666666666666,608376.0,183515.0,-525.0,-0.08629531736952148,-0.28608015693540034
225,5715.0,4.0,4.0,4.0,289147.0,15.2,56.8,1.0,19.1,0.1111111111111111,148144.0,64968.0,2951.0,1.991980775461713,4.542236177810614
226,5851.0,4.0,4.0,4.0,271476.0,12.7,51.0,2.0,18.5,0.1764705882352941,167028.0,71429.0,-3372.0,-2.0188231913212156,-4.720771675369948
227,5803.0,5.0,5.0,5.0,277361.0,16.5,47.0,1.0,16.0,0.1075268817204301,340903.0,86186.0,25351.0,7.436426197481396,29.414290023901795
228,5742.0,3.0,3.0,3.0,218000.0,10.0,70.3,1.0,9.1,0.125,8733.0,4660.0,161.0,1.8435818160998512,3.454935622317597
230,5930.0,4.0,4.0,4.0,269805.0,25.0,61.9,1.0,17.2,0.1666666666666666,128753.0,66359.0,5865.0,4.555233664458304,8.838288702361398
231,5901.0,4.0,5.0,4.0,280769.0,29.8,55.4,1.0,18.3,0.2765957446808511,565962.0,398651.0,22231.0,3.9280022333654907,5.57655693827433
232,5929.0,4.0,5.0,4.0,242068.0,36.5,43.1,1.0,16.0,0.15,232555.0,145516.0,13314.0,5.725097288813399,9.1495093323071
233,5947.0,5.0,4.0,4.0,296680.0,14.7,63.0,1.0,16.8,0.1450381679389313,276512.0,223541.0,15435.0,5.582036222659415,6.904773620946493
234,5991.0,5.0,4.0,4.0,376784.0,17.9,77.7,1.0,17.5,0.1036269430051813,382276.0,188454.0,31052.0,8.122926890518892,16.47723051779214
235,5956.0,3.0,3.0,3.0,335933.0,14.8,68.9,1.0,13.2,0.0714285714285714,19202.0,12065.0,796.0,4.1454015206749295,6.597596353087443
236,5909.0,3.0,3.0,3.0,283215.0,12.8,66.8,1.0,19.1,0.0943396226415094,95895.0,67824.0,788.0,0.8217321028207936,1.1618306204293467
237,5979.0,3.0,3.0,3.0,335000.0,8.0,72.7,1.0,18.0,0.0,15598.0,13497.0,39.0,0.2500320553917169,0.288953100689042
238,5989.0,4.0,4.0,4.0,239000.0,8.3,93.7,1.0,20.3,0.2083333333333333,86677.0,43817.0,2511.0,2.8969622852659875,5.730652486477851
239,3434.0,3.0,3.0,3.0,255988.0,11.9,48.1,1.0,20.0,0.25,34800.0,17084.0,1107.0,3.1810344827586206,6.479747131819245
240,3436.0,4.0,4.0,4.0,291141.0,14.6,84.7,1.0,17.1,0.0847457627118644,679481.0,423148.0,40471.0,5.956163601336903,9.564265930596386
241,5938.0,5.0,5.0,5.0,267419.0,16.5,49.1,1.0,21.3,0.1473087818696883,1151929.0,460230.0,40641.0,3.5280820258887484,8.830584707646178
242,6317.0,3.0,3.0,3.0,252500.0,18.0,59.4,2.0,15.2,0.1276595744680851,70605.0,35207.0,405.0,0.5736137667304015,1.150339421137842
243,6305.0,5.0,4.0,4.0,307100.0,23.0,68.1,1.0,15.5,0.1176470588235294,715436.0,356424.0,67589.0,9.447246154792323,18.963088905348684
244,6471.0,5.0,5.0,5.0,356540.0,6.9,85.2,1.0,15.8,0.1044776119402985,715771.0,291154.0,34379.0,4.8030724910620854,11.807840524258639
245,6247.0,3.0,3.0,3.0,254757.0,7.5,67.2,1.0,14.8,0.1875,62481.0,52733.0,1885.0,3.0169171428114145,3.5746117232093755
246,6360.0,3.0,3.0,3.0,251870.0,21.4,68.0,1.0,19.6,0.1428571428571428,13973.0,5718.0,373.0,2.6694339082516283,6.5232598810772995
248,6373.0,3.0,3.0,4.0,248778.0,12.0,55.6,1.0,13.9,0.027027027027027,47268.0,14967.0,1084.0,2.2933062537022932,7.242600387519209
250,6302.0,5.0,4.0,5.0,320000.0,19.5,73.6,1.0,15.1,0.1006711409395973,576452.0,202976.0,30139.0,5.228362465565216,14.848553523569288
252,6370.0,4.0,4.0,5.0,331117.0,22.7,53.0,1.0,17.5,0.048780487804878,362718.0,242699.0,24289.0,6.696386724673162,10.007869830530822
253,6361.0,5.0,5.0,4.0,296145.0,21.5,70.7,1.0,16.8,0.0695652173913043,494785.0,276266.0,35654.0,7.205958143436038,12.90567786119175
254,6250.0,3.0,3.0,4.0,293822.0,11.9,61.5,1.0,18.2,0.0588235294117647,78326.0,37364.0,4139.0,5.284324489952251,11.077507761481641
255,6586.0,4.0,3.0,3.0,338400.0,22.3,57.8,2.0,17.1,0.1065573770491803,605668.0,436519.0,32916.0,5.434660573119267,7.5405652445827105
256,6312.0,2.0,3.0,3.0,261640.0,11.9,61.0,2.0,11.4,0.5,17366.0,13312.0,779.0,4.485776805251642,5.851862980769231
257,6238.0,3.0,4.0,3.0,298479.0,16.7,77.3,1.0,7.7,0.1851851851851851,28236.0,21472.0,2681.0,9.494970959059357,12.48602831594635
258,6406.0,3.0,3.0,3.0,260000.0,24.8,63.5,2.0,18.1,0.2115384615384615,93428.0,67076.0,8177.0,8.752194203022649,12.190649412606595
259,6420.0,3.0,3.0,3.0,293500.0,23.2,47.3,1.0,11.0,0.3043478260869565,82340.0,60357.0,6882.0,8.358027690065581,11.40215716486903
260,6268.0,5.0,5.0,4.0,355033.0,18.6,75.3,1.0,16.9,0.0704225352112676,311735.0,170303.0,51529.0,16.529744815307872,30.25724737673441
261,6369.0,3.0,3.0,3.0,260000.0,20.3,68.0,1.0,15.5,0.1875,58493.0,34102.0,1898.0,3.24483271502573,5.565655973256701
262,6013.0,3.0,4.0,3.0,286183.0,20.5,45.5,1.0,15.3,0.0,135505.0,73434.0,5508.0,4.064794657023726,7.500612795163003
263,6383.0,5.0,5.0,5.0,261035.0,18.5,71.2,1.0,16.0,0.1309523809523809,330068.0,221919.0,28652.0,8.680635505411006,12.911017082809492
264,6367.0,5.0,5.0,5.0,332400.0,16.1,91.5,1.0,15.7,0.0769230769230769,1814520.0,1018657.0,153800.0,8.476070806604502,15.098310815122264
265,6143.0,3.0,2.0,3.0,265000.0,20.5,58.7,1.0,14.0,0.0333333333333333,94346.0,47084.0,2666.0,2.825768978017086,5.662220711919123
266,6460.0,3.0,4.0,4.0,267972.0,23.1,49.8,1.0,3.7,0.0775193798449612,388517.0,259384.0,9947.0,2.560248328901953,3.8348548869629586
267,7718.0,3.0,4.0,4.0,313267.0,4.5,75.9,1.0,18.8,0.25,56275.0,42319.0,4311.0,7.660595290981787,10.18691367943477
269,6444.0,5.0,4.0,5.0,269636.0,11.4,63.2,1.0,17.1,0.1111111111111111,77383.0,23586.0,19023.0,24.58291872891979,80.65377766471636
270,6287.0,4.0,4.0,4.0,338492.0,14.8,52.9,1.0,12.7,0.2051282051282051,90970.0,46862.0,2144.0,2.3568209299769154,4.575135504246511
271,6301.0,5.0,5.0,5.0,303073.0,16.2,99.0,1.0,15.3,0.0355987055016181,1403535.0,801102.0,78342.0,5.581763190800372,9.779279043118105
272,6457.0,4.0,4.0,4.0,244947.0,16.3,65.6,1.0,20.3,0.0989010989010989,282619.0,189258.0,9855.0,3.487026703795569,5.207177503725074
274,6498.0,3.0,4.0,4.0,268992.0,13.0,63.2,1.0,14.7,0.0392156862745098,110065.0,53584.0,2662.0,2.4185708445009766,4.967900865930129
275,6368.0,3.0,3.0,3.0,295968.0,28.2,51.9,1.0,16.0,0.0344827586206896,102721.0,62361.0,7480.0,7.28186057378725,11.994676159779349
276,6113.0,5.0,4.0,4.0,275694.0,1.4,52.5,1.0,17.6,0.1818181818181818,439038.0,362461.0,18241.0,4.1547656467093965,5.032541432043723
277,6466.0,2.0,3.0,3.0,281899.0,7.7,59.7,1.0,15.3,0.0,13545.0,9049.0,-121.0,-0.8933185677371724,-1.3371643275500056
278,6463.0,3.0,3.0,3.0,247900.0,5.6,56.8,1.0,19.9,0.0,105923.0,78886.0,7487.0,7.068342097561437,9.490910934766625
280,6472.0,5.0,4.0,5.0,273100.0,3.4,86.7,1.0,19.5,0.0666666666666666,614231.0,147279.0,21629.0,3.521313642587235,14.685732521269157
283,6407.0,4.0,4.0,4.0,280869.0,19.2,63.6,1.0,15.9,0.1157024793388429,143420.0,92726.0,9792.0,6.8274996513735875,10.560144943165886
284,6901.0,4.0,4.0,3.0,270461.0,13.3,73.0,1.0,17.8,0.1052631578947368,17884.0,8330.0,193.0,1.0791769179154551,2.3169267707082835
285,6508.0,4.0,4.0,4.0,263964.0,23.6,64.0,1.0,18.9,0.1030927835051546,227591.0,80827.0,7580.0,3.3305359175011318,9.378054363022258
286,6856.0,4.0,3.0,4.0,262540.0,12.3,56.1,1.0,13.6,0.1571428571428571,221751.0,112432.0,1900.0,0.8568168801944523,1.6899103458090223
287,6504.0,5.0,5.0,5.0,290120.0,18.4,72.1,1.0,20.6,0.0890410958904109,757016.0,304074.0,33298.0,4.39858602724381,10.95062386129692
288,6965.0,5.0,4.0,4.0,292361.0,12.2,72.8,2.0,16.1,0.0188679245283018,273093.0,211370.0,31827.0,11.654271621755226,15.057482140322657
289,6779.0,4.0,4.0,3.0,303036.0,15.3,51.3,2.0,16.5,0.1612903225806451,54734.0,15418.0,4859.0,8.877480176855338,31.51511220651187
290,6951.0,3.0,3.0,3.0,306502.0,14.6,58.1,1.0,17.8,0.2758620689655172,159754.0,79009.0,12081.0,7.562251962392177,15.290663089015174
291,6807.0,4.0,4.0,4.0,296500.0,12.3,70.1,2.0,17.5,0.0909090909090909,155138.0,96305.0,9635.0,6.210599595199113,10.00467265458699
292,6849.0,4.0,4.0,4.0,333731.0,15.2,43.3,1.0,14.6,0.0579710144927536,186622.0,139262.0,21295.0,11.410766147613893,15.291321394206603
293,6930.0,4.0,3.0,3.0,291976.0,19.0,71.4,1.0,16.2,0.25,21040.0,17301.0,-1094.0,-5.199619771863118,-6.323333911334606
294,6958.0,4.0,4.0,3.0,364270.0,21.4,52.9,1.0,16.2,0.15,85480.0,40259.0,957.0,1.1195601310248011,2.377108224247994
295,6651.0,4.0,3.0,3.0,255774.0,18.8,70.6,1.0,16.1,0.1454545454545454,104109.0,88182.0,5389.0,5.1763056027817,6.111224512939149
296,3105.0,5.0,5.0,4.0,319850.0,4.2,67.6,1.0,20.0,0.1515151515151515,293733.0,151239.0,21196.0,7.216077185743515,14.014903563234352
297,6588.0,5.0,4.0,5.0,296164.0,18.9,60.6,1.0,18.4,0.1157894736842105,196081.0,83241.0,471.0,0.2402068532902219,0.5658269362453598
298,8035.0,5.0,5.0,5.0,343643.0,34.9,62.5,1.0,17.6,0.0604395604395604,1439595.0,838408.0,358065.0,24.87262042449439,42.707727025505484
299,6706.0,3.0,3.0,3.0,256278.0,22.6,53.8,1.0,15.7,0.0833333333333333,42574.0,35343.0,1032.0,2.4240146568328087,2.919955861132332
301,6981.0,5.0,5.0,5.0,308308.0,15.3,67.1,1.0,14.7,0.0271084337349397,1425313.0,730966.0,184784.0,12.964450615408685,25.279424761206403
302,6844.0,5.0,5.0,5.0,291163.0,6.5,54.5,1.0,17.6,0.1,111353.0,42712.0,4275.0,3.839142187457904,10.008896797153024
303,6967.0,4.0,3.0,3.0,309250.0,14.1,62.6,1.0,21.6,0.0571428571428571,315487.0,199243.0,51764.0,16.407649126588417,25.98033557013295
304,7276.0,4.0,4.0,3.0,265840.0,9.8,75.0,2.0,19.1,0.0681818181818181,475170.0,379455.0,23253.0,4.8936170212765955,6.127999367513935
305,6637.0,3.0,3.0,3.0,292799.0,11.4,74.5,1.0,18.7,0.2272727272727272,26806.0,15499.0,1021.0,3.808848765201821,6.587521775598426
306,6503.0,5.0,4.0,5.0,322500.0,23.5,70.5,1.0,16.6,0.0719424460431654,3065591.0,1490180.0,179389.0,5.851693849570931,12.03807593713511
307,6643.0,3.0,3.0,3.0,274978.0,9.4,43.1,2.0,15.1,0.0,19665.0,12829.0,864.0,4.393592677345538,6.734741601060098
308,6814.0,3.0,3.0,4.0,280691.0,13.6,72.1,1.0,14.8,0.073170731707317,62662.0,28332.0,4585.0,7.317034247231177,16.18311449950586
309,6506.0,4.0,4.0,4.0,296928.0,16.0,75.6,1.0,18.7,0.0579710144927536,270180.0,141364.0,30101.0,11.141091124435562,21.293257123454346
310,6963.0,5.0,5.0,5.0,406807.0,17.1,62.0,1.0,14.7,0.1793103448275862,637391.0,488233.0,53236.0,8.35217315588077,10.90381027091573
311,6479.0,5.0,5.0,5.0,257388.0,2.9,65.6,1.0,16.3,0.1076923076923077,657271.0,253354.0,23224.0,3.533397943922674,9.166620617791708
